temp_09.tif,temp_10.tif,temp_11.tif,temp_12.tif,temp_13.tif,prep_09.tif,prep_10.tif,prep_11.tif,prep_12.tif,prep_13.tif,spi_09,spi_10,spi_11,spi_12,spi_13,di_09,di_10,di_11,di_12,di_13,st_200_e,st_100_e,st_60_e,cl_13_e,cl_12_e,cl_11_e,cl_10_e,soc_0.tif,soc_10.tif,soc_30.tif,cl_09,st_0,st_30_e,total_carb,organic_ca,ra_ca_id,date,datafrom,so_cstock5,so_cstock30,so_cstock100,geometry
17.2962513,17.21958351,18.13658524,18.5688343,17.16408348,100.9900818,100.9900818,85.95683289,72.47272491,123.338501,-0.372916669,2.013194323,-0.172222227,-1.422361135,0.394583315,1.427361131,5.26902771,-0.802222252,-4.468333244,0.183194458,6,6,4,142,142,142,142,5,3,1,142,7,7,NA,NA,C1401F26,2012,raca,11.18583652,21.64164019,21.64164019,"c(-83.71, 33.02)"
16.02741814,16.39325142,17.29158401,17.65850067,16.19791794,101.1911697,101.1911697,90.27458191,91.5610733,127.1919174,-1.376250029,1.504166603,-0.389027774,-1.352361083,0.168749988,-0.850138903,3.360277891,-1.657916665,-4.428333282,-0.471527785,4,4,4,141,142,142,142,4,3,1,142,7,7,NA,NA,C1407P25,2012,raca,71.8759569,92.45141944,121.7541827,"c(-83.66, 33.9)"
13.32983398,13.48366737,14.26758385,14.76250076,13.34075069,146.4870758,146.4870758,146.8276672,137.5074463,206.7469177,-1.435555577,1.291388869,0.022361111,-0.331805557,0.836111128,-1.334861159,2.516527891,-0.048888892,-2.027083397,1.526666641,6,6,6,141,141,141,141,5,6,2,141,7,4,NA,NA,C1401F44,2012,raca,73.36181553,107.3994846,116.5828692,"c(-83.66, 34.73)"
19.07850075,18.43050003,19.61575127,19.92616653,19.33141708,90.44808197,90.44808197,88.94008636,104.6997681,128.5279999,-0.313055545,0.076805554,-1.337638855,-0.896944463,0.53125,0.81472224,0.286111116,-3.387777805,-3.989583254,-0.061666675,6,6,6,61,142,143,141,4,3,1,142,9,9,NA,NA,C1509F10,2012,raca,13.75583345,38.40289033,76.52217235,"c(-83.6, 30.92)"
13.40816689,13.56008434,14.41133404,14.881917,13.30650043,141.2965851,141.2965851,144.3339233,125.142067,205.0749207,-1.607777715,0.943333328,-0.069166668,-0.264722228,0.884444475,-1.793611169,2.08486104,-0.253472209,-1.780694485,1.592222214,6,4,4,141,141,141,141,7,7,3,141,7,4,NA,NA,F1805F90,2012,raca,14.08173945,33.28256338,54.86518277,"c(-83.54, 34.72)"
18.84816742,18.25941658,19.22391701,19.62866783,18.78475189,86.15274811,86.15274811,71.40399933,103.7634659,136.7154236,-0.323194444,0.728194416,-1.240694404,-0.898611128,1.134444475,1.228194475,1.728611112,-3.226527691,-3.788472176,1.799861073,6,6,9,142,142,142,142,2,2,1,142,11,9,NA,NA,C1510C06,2012,raca,4.71863943,28.31183658,38.00869059,"c(-83.53, 31.43)"
17.91725159,17.80825043,18.8655014,19.17925072,18.22408485,91.89066315,91.89066315,81.98883057,71.67169189,134.0491638,-0.263055563,1.348055601,-1.150694489,-1.641388893,0.794444442,0.916944444,3.442638874,-3.105000019,-5.099722385,0.93416667,7,4,4,190,190,190,190,5,4,2,190,7,4,NA,NA,C1505W03,2012,raca,26.31660735,82.36518897,193.845374,"c(-83.5, 32.36)"
17.66866684,17.52308464,18.51966667,18.92158318,17.65283394,91.09783173,91.09783173,83.5771637,69.2383728,144.0115814,-0.302777767,1.265694499,-1.265972257,-1.644583344,0.770555556,0.945138872,3.36944437,-3.203888893,-5.10722208,0.911666632,6,4,4,142,142,142,141,4,3,1,190,7,7,NA,NA,C1507F33,2012,raca,3.421498824,17.13409238,38.67945861,"c(-83.48, 32.52)"
18.57741737,18.09791756,19.10666656,19.46850204,18.6744175,102.0550842,102.0550842,73.78424835,95.43753815,136.630249,-0.451805562,1.112638831,-1.063472152,-1.24888885,0.954861104,1.062361121,3.163472176,-2.606527805,-4.254444599,1.297222257,6,6,6,1,10,1,2,2,2,2,10,9,9,NA,NA,C1508C04,2012,raca,5.587929131,33.52757479,57.14212069,"c(-83.45, 31.57)"
18.74358368,18.08933449,19.15375137,19.56441689,18.71191788,91.8208313,91.8208313,73.11433411,107.874115,132.5565033,-0.34375,0.84819442,-1.306666613,-0.968333304,1.016944408,1.116388917,2.241388798,-3.302777767,-3.808888912,1.606666684,6,6,9,122,122,122,122,2,2,1,122,9,9,NA,NA,NA,2012,NA,NA,NA,NA,"c(-83.43, 31.43)"
15.00983429,15.32616711,16.14058495,16.58191681,15.17908382,95.27600098,95.27600098,99.20916748,99.36472321,171.1488342,-1.424305558,1.186527729,-0.558472216,-0.69305557,0.905277729,-0.838888884,2.405138969,-2.201388836,-3.139722347,1.125416636,4,4,4,141,176,176,176,10,7,2,176,7,7,NA,NA,F1401F05,2012,raca,113.4446137,148.1293082,152.8293651,"c(-83.41, 34.5)"
16.97908401,16.96541786,18.06333351,18.63875198,17.19425011,104.0129166,104.0129166,71.71833038,75.28050995,143.6463318,-0.405000001,1.852777719,-0.556666672,-1.735694408,0.718055546,1.193611145,4.532916546,-1.521805525,-5.210138798,0.822638929,6,4,4,142,142,142,142,6,4,1,142,7,4,NA,NA,C1404F03,2012,raca,150.5066306,189.2389754,212.7855332,"c(-83.4, 33.06)"
17.95791817,17.73391724,18.77475166,19.17983437,18.16699982,85.74783325,85.74783325,77.20649719,75.19282532,125.3501663,-0.447916657,1.131388903,-1.391388893,-1.620694399,0.819722235,0.670833349,2.621527672,-3.255833387,-5.178194523,0.988194466,4,4,4,142,141,74,142,4,3,1,142,7,4,NA,NA,C1507F25,2012,raca,8.662396176,32.86180117,42.2593854,"c(-83.34, 32.12)"
